alias,wbgene
asp-6,WBGene00000219
F21F8.7,WBGene00000219
atf-2,WBGene00000220
K08F8.2,WBGene00000220
atf-4,WBGene00000221
T04C10.4,WBGene00000221
atf-6,WBGene00000222
F45E6.2,WBGene00000222
atf-7,WBGene00000223
C07G2.2,WBGene00000223
atgp-1,WBGene00000224
F26D10.9,WBGene00000224
atgp-2,WBGene00000225
C38C6.2,WBGene00000225
atl-1,WBGene00000226
T06E4.3,WBGene00000226
atm-1,WBGene00000227
Y48G1BL.2,WBGene00000227
atn-1,WBGene00000228
W04D2.1,WBGene00000228
atp-2,WBGene00000229
C34E10.6,WBGene00000229
atp-3,WBGene00000230
F27C1.7,WBGene00000230
atx-2,WBGene00000231
D2045.1,WBGene00000231
avr-14,WBGene00000232
B0207.12,WBGene00000232
avr-15,WBGene00000233
R11G10.1,WBGene00000233
baf-1,WBGene00000235
B0464.7,WBGene00000235
bag-1,WBGene00000236
F57B10.11,WBGene00000236
bam-2,WBGene00000237
Y71F9AR.1,WBGene00000237
bar-1,WBGene00000238
C54D1.6,WBGene00000238
bas-1,WBGene00000239
C05D2.4,WBGene00000239
pah-1,WBGene00000240
K08F8.4,WBGene00000240
bbs-1,WBGene00000241
Y105E8A.5,WBGene00000241
bbs-2,WBGene00000242
F20D12.3,WBGene00000242
bbs-8,WBGene00000244
T25F10.5,WBGene00000244
bca-1,WBGene00000245
T13C5.5,WBGene00000245
bcc-1,WBGene00000246
M7.3,WBGene00000246
bec-1,WBGene00000247
T19E7.3,WBGene00000247
ben-1,WBGene00000248
C54C6.2,WBGene00000248
bir-1,WBGene00000249
T27F2.3,WBGene00000249
bir-2,WBGene00000250
C50B8.2,WBGene00000250
bli-1,WBGene00000251
C09G5.6,WBGene00000251
bli-2,WBGene00000252
F59E12.12,WBGene00000252
bli-3,WBGene00000253
F56C11.1,WBGene00000253
bli-4,WBGene00000254
K04F10.4,WBGene00000254
bli-5,WBGene00000255
F45G2.5,WBGene00000255
bli-6,WBGene00000256
Y73B6BL.34,WBGene00000256
bmk-1,WBGene00000257
F23B12.8,WBGene00000257
bpl-1,WBGene00000259
F13H8.10,WBGene00000259
bra-1,WBGene00000262
F54B11.6,WBGene00000262
brc-1,WBGene00000264
C36A4.8,WBGene00000264
brd-1,WBGene00000265
K04C2.4,WBGene00000265
bre-1,WBGene00000266
C53B4.7,WBGene00000266
bre-2,WBGene00000267
Y39E4B.9,WBGene00000267
bre-3,WBGene00000268
B0464.4,WBGene00000268
bre-4,WBGene00000269
Y73E7A.7,WBGene00000269
bre-5,WBGene00000270
T12G3.8,WBGene00000270
brf-1,WBGene00000271
F45E12.2,WBGene00000271
bro-1,WBGene00000272
F56A3.5,WBGene00000272
brp-1,WBGene00000273
Y79H2A.1,WBGene00000273
btf-1,WBGene00000274
F15D4.1,WBGene00000274
bub-1,WBGene00000275
R06C7.8,WBGene00000275
byn-1,WBGene00000276
F57B9.5,WBGene00000276
cab-1,WBGene00000277
C23H4.1,WBGene00000277
cah-1,WBGene00000279
F54D8.4,WBGene00000279
cah-2,WBGene00000280
D1022.8,WBGene00000280
cah-3,WBGene00000281
K05G3.3,WBGene00000281
cah-4,WBGene00000282
R01E6.3,WBGene00000282
cah-5,WBGene00000283
R173.1,WBGene00000283
cah-6,WBGene00000284
T28F2.3,WBGene00000284
cal-1,WBGene00000285
C13C12.1,WBGene00000285
cal-2,WBGene00000286
C18E9.1,WBGene00000286
cal-3,WBGene00000287
M02B7.6,WBGene00000287
cal-4,WBGene00000288
T07G12.1,WBGene00000288
cam-1,WBGene00000289
C01G6.8,WBGene00000289
cap-1,WBGene00000292
D2024.6,WBGene00000292
cap-2,WBGene00000293
M106.5,WBGene00000293
cas-1,WBGene00000294
F41G4.2,WBGene00000294
cat-1,WBGene00000295
W01C8.6,WBGene00000295
cat-2,WBGene00000296
B0432.5,WBGene00000296
cat-4,WBGene00000298
F32G8.6,WBGene00000298
cav-1,WBGene00000301
T13F2.8,WBGene00000301
cav-2,WBGene00000302
C56A3.7,WBGene00000302
cbp-1,WBGene00000366
R10E11.1,WBGene00000366
cca-1,WBGene00000367
C54D2.5,WBGene00000367
ccb-1,WBGene00000368
T28F2.5,WBGene00000368
ccf-1,WBGene00000369
Y56A3A.20,WBGene00000369
ccg-1,WBGene00000370
Y73F8A.6,WBGene00000370
cox-5B,WBGene00000371
F26E4.9,WBGene00000371
cyp-13A7,WBGene00000372
T10B9.10,WBGene00000372
cyp-14A5,WBGene00000373
F08F3.7,WBGene00000373
cyp-31A1,WBGene00000374
C01F6.3,WBGene00000374
cyp-44A1,WBGene00000375
ZK177.5,WBGene00000375
ccr-4,WBGene00000376
ZC518.3,WBGene00000376
cct-1,WBGene00000377
T05C12.7,WBGene00000377
cct-2,WBGene00000378
T21B10.7,WBGene00000378
cct-4,WBGene00000379
K01C8.10,WBGene00000379
cct-5,WBGene00000380
C07G2.3,WBGene00000380
cct-6,WBGene00000381
F01F1.8,WBGene00000381
cdc-6,WBGene00000382
C43E11.10,WBGene00000382
cdc-14,WBGene00000383
C17G10.4,WBGene00000383
cdc-25.1,WBGene00000386
K06A5.7,WBGene00000386
cdc-25.2,WBGene00000387
F16B4.8,WBGene00000387
cdc-25.3,WBGene00000388
ZK637.11,WBGene00000388
cdc-25.4,WBGene00000389
R05H5.2,WBGene00000389
cdc-42,WBGene00000390
R07G3.1,WBGene00000390
cdd-1,WBGene00000391
C47D2.2,WBGene00000391
cdd-2,WBGene00000392
F49E8.4,WBGene00000392
cdf-1,WBGene00000393
C15B12.7,WBGene00000393
cdh-3,WBGene00000395
ZK112.7,WBGene00000395
cdh-4,WBGene00000396
F25F2.2,WBGene00000396
cdh-5,WBGene00000397
F08B4.2,WBGene00000397
cdh-7,WBGene00000399
R05H10.6,WBGene00000399
cdh-9,WBGene00000401
F59C12.1,WBGene00000401
cdh-10,WBGene00000402
C45G7.5,WBGene00000402
casy-1,WBGene00000403
B0034.3,WBGene00000403
cdk-1,WBGene00000405
T05G5.3,WBGene00000405
cdk-4,WBGene00000406
F18H3.5,WBGene00000406
cdk-5,WBGene00000407
T27E9.3,WBGene00000407
cdk-7,WBGene00000408
Y39G10AL.3,WBGene00000408
cdk-8,WBGene00000409
F39H11.3,WBGene00000409
cdk-9,WBGene00000410
H25P06.2,WBGene00000410
cdl-1,WBGene00000411
R06F6.1,WBGene00000411
cdr-1,WBGene00000412
F35E8.11,WBGene00000412
cdt-1,WBGene00000413
Y54E10A.15,WBGene00000413
cec-1,WBGene00000414
ZK1236.2,WBGene00000414
ced-1,WBGene00000415
Y47H9C.4,WBGene00000415
ced-2,WBGene00000416
Y41D4B.13,WBGene00000416
ced-3,WBGene00000417
C48D1.2,WBGene00000417
ced-4,WBGene00000418
C35D10.9,WBGene00000418
ced-5,WBGene00000419
C02F4.1,WBGene00000419
ced-6,WBGene00000420
F56D2.7,WBGene00000420
ced-7,WBGene00000421
C48B4.4,WBGene00000421
ced-8,WBGene00000422
F08F1.5,WBGene00000422
ced-9,WBGene00000423
T07C4.8,WBGene00000423
ced-10,WBGene00000424
C09G12.8,WBGene00000424
ced-11,WBGene00000425
ZK512.3,WBGene00000425
ced-12,WBGene00000426
Y106G6E.5,WBGene00000426
ced-13,WBGene00000427
R09F10.9,WBGene00000427
ceh-1,WBGene00000428
F16H11.4,WBGene00000428
ceh-2,WBGene00000429
C27A12.5,WBGene00000429
ceh-5,WBGene00000430
C16C2.1,WBGene00000430
ceh-6,WBGene00000431
K02B12.1,WBGene00000431
ceh-7,WBGene00000432
C34C6.8,WBGene00000432
ceh-8,WBGene00000433
ZK265.4,WBGene00000433
ceh-9,WBGene00000434
Y65B4BR.9,WBGene00000434
ceh-10,WBGene00000435
W03A3.1,WBGene00000435
ceh-12,WBGene00000436
F33D11.4,WBGene00000436
ceh-13,WBGene00000437
R13A5.5,WBGene00000437
ceh-14,WBGene00000438
F46C8.5,WBGene00000438
ceh-16,WBGene00000439
C13G5.1,WBGene00000439
ceh-17,WBGene00000440
D1007.1,WBGene00000440
ceh-18,WBGene00000441
ZC64.3,WBGene00000441
ceh-19,WBGene00000442
F20D12.6,WBGene00000442
ceh-20,WBGene00000443
F31E3.1,WBGene00000443
ceh-21,WBGene00000444
T26C11.6,WBGene00000444
ceh-22,WBGene00000445
F29F11.5,WBGene00000445
ceh-23,WBGene00000446
ZK652.5,WBGene00000446
ceh-24,WBGene00000447
F55B12.1,WBGene00000447
pros-1,WBGene00000448
K12H4.1,WBGene00000448
ceh-27,WBGene00000449
F46F3.1,WBGene00000449
ceh-28,WBGene00000450
K03A11.3,WBGene00000450
ceh-30,WBGene00000451
C33D12.7,WBGene00000451
ceh-31,WBGene00000452
C33D12.1,WBGene00000452
ceh-32,WBGene00000453
W05E10.3,WBGene00000453
ceh-33,WBGene00000454
C10G8.7,WBGene00000454
ceh-34,WBGene00000455
C10G8.6,WBGene00000455
